nome_campo,tipo_pyspark,tipo_postgresql,descricao_campo,exemplo_conteudo
OGC_FID,IntegerType,BIGINT,Identificador único de feição (SIG/Geodados),1
UF_ZI,StringType,VARCHAR(6),Município gestor/UF de internação,355030
ANO_CMPT,StringType,VARCHAR(4),Ano do processamento da AIH (AAAAMM),2024
MES_CMPT,StringType,VARCHAR(2),Mês do processamento da AIH,01
ESPEC,StringType,VARCHAR(2),Especialidade do leito,03
CGC_HOSP,StringType,VARCHAR(14),CNPJ/CGC do hospital executor,00000000000000
N_AIH,StringType,VARCHAR(13),Número da AIH gerada,3524100000000
IDENT,StringType,VARCHAR(1),"Tipo de identificação da AIH (1-Normal, 3-Corte)",1
CEP,StringType,VARCHAR(8),CEP do paciente,05700000
MUNIC_RES,StringType,VARCHAR(6),Código IBGE (6 dígitos) de residência do paciente,355030
NASC,StringType,VARCHAR(8),Data de nascimento do paciente (AAAAMMDD),19800512
SEXO,StringType,VARCHAR(1),"Sexo do paciente (1-M, 3-F, 0-Ignorado)",1
UTI_MES_IN,IntegerType,INT,Diárias UTI infantil no mês,0
UTI_MES_AN,IntegerType,INT,Diárias UTI adulto no mês,0
UTI_MES_AL,IntegerType,INT,Diárias UTI neonatal no mês,0
UTI_MES_TO,IntegerType,INT,Qtd. total de diárias em UTI no mês,0
MARCA_UTI,StringType,VARCHAR(2),Tipo/Marca de UTI utilizada,00
UTI_INT_IN,IntegerType,INT,Diárias UTI infantil no período total,0
UTI_INT_AN,IntegerType,INT,Diárias UTI adulto no período total,0
UTI_INT_AL,IntegerType,INT,Diárias UTI neonatal no período total,0
UTI_INT_TO,IntegerType,INT,Qtd. total de diárias em UTI na internação,0
DIAR_ACOM,IntegerType,INT,Diárias de acompanhante,0
QT_DIARIAS,IntegerType,INT,Quantidade total de diárias do paciente,5
PROC_SOLIC,StringType,VARCHAR(10),Código do procedimento solicitado,0303010037
PROC_REA,StringType,VARCHAR(10),Código do procedimento realizado,0303010037
VAL_SH,DoubleType,"NUMERIC(12,2)",Valor dos serviços hospitalares (R$),850.50
