Geocódigo;Nome do município;Sigla da UF;Bioma predominante
1100015;Alta Floresta D'Oeste;RO;Amazônia
1100023;Ariquemes;RO;Amazônia
1100031;Cabixi;RO;Amazônia
1100049;Cacoal;RO;Amazônia
1100056;Cerejeiras;RO;Amazônia
1100064;Colorado do Oeste;RO;Amazônia
1100072;Corumbiara;RO;Amazônia
1100080;Costa Marques;RO;Amazônia
1100098;Espigão D'Oeste;RO;Amazônia
1100106;Guajará-Mirim;RO;Amazônia
1100114;Jaru;RO;Amazônia
1100122;Ji-Paraná;RO;Amazônia
1100130;Machadinho D'Oeste;RO;Amazônia
1100148;Nova Brasilândia D'Oeste;RO;Amazônia
1100155;Ouro Preto do Oeste;RO;Amazônia
1100189;Pimenta Bueno;RO;Amazônia
1100205;Porto Velho;RO;Amazônia
1100254;Presidente Médici;RO;Amazônia
1100262;Rio Crespo;RO;Amazônia
1100288;Rolim de Moura;RO;Amazônia
1100296;Santa Luzia D'Oeste;RO;Amazônia
1100304;Vilhena;RO;Amazônia
1100320;São Miguel do Guaporé;RO;Amazônia
1100338;Nova Mamoré;RO;Amazônia
1100346;Alvorada D'Oeste;RO;Amazônia
1100379;Alto Alegre dos Parecis;RO;Amazônia
1100403;Alto Paraíso;RO;Amazônia
1100452;Buritis;RO;Amazônia
1100502;Novo Horizonte do Oeste;RO;Amazônia
1100601;Cacaulândia;RO;Amazônia
1100700;Campo Novo de Rondônia;RO;Amazônia
1100809;Candeias do Jamari;RO;Amazônia
1100908;Castanheiras;RO;Amazônia
1100924;Chupinguaia;RO;Amazônia
1100940;Cujubim;RO;Amazônia
1101005;Governador Jorge Teixeira;RO;Amazônia
1101104;Itapuã do Oeste;RO;Amazônia
1101203;Ministro Andreazza;RO;Amazônia
1101302;Mirante da Serra;RO;Amazônia
1101401;Monte Negro;RO;Amazônia
1101435;Nova União;RO;Amazônia
1101450;Parecis;RO;Amazônia
1101468;Pimenteiras do Oeste;RO;Amazônia
1101476;Primavera de Rondônia;RO;Amazônia
1101484;São Felipe D'Oeste;RO;Amazônia
1101492;São Francisco do Guaporé;RO;Amazônia
1101500;Seringueiras;RO;Amazônia
1101559;Teixeirópolis;RO;Amazônia
1101609;Theobroma;RO;Amazônia
1101708;Urupá;RO;Amazônia
1101757;Vale do Anari;RO;Amazônia
1101807;Vale do Paraíso;RO;Amazônia
1200013;Acrelândia;AC;Amazônia
1200054;Assis Brasil;AC;Amazônia
1200104;Brasiléia;AC;Amazônia
1200138;Bujari;AC;Amazônia
1200179;Capixaba;AC;Amazônia
1200203;Cruzeiro do Sul;AC;Amazônia
1200252;Epitaciolândia;AC;Amazônia
1200302;Feijó;AC;Amazônia
1200328;Jordão;AC;Amazônia
1200336;Mâncio Lima;AC;Amazônia
1200344;Manoel Urbano;AC;Amazônia
1200351;Marechal Thaumaturgo;AC;Amazônia
1200385;Plácido de Castro;AC;Amazônia
1200393;Porto Walter;AC;Amazônia
1200401;Rio Branco;AC;Amazônia
1200427;Rodrigues Alves;AC;Amazônia
1200435;Santa Rosa do Purus;AC;Amazônia
1200450;Senador Guiomard;AC;Amazônia
1200500;Sena Madureira;AC;Amazônia
1200609;Tarauacá;AC;Amazônia
1200708;Xapuri;AC;Amazônia
1200807;Porto Acre;AC;Amazônia
1300029;Alvarães;AM;Amazônia
1300060;Amaturá;AM;Amazônia
1300086;Anamã;AM;Amazônia
1300102;Anori;AM;Amazônia
1300144;Apuí;AM;Amazônia
1300201;Atalaia do Norte;AM;Amazônia
1300300;Autazes;AM;Amazônia
1300409;Barcelos;AM;Amazônia
1300508;Barreirinha;AM;Amazônia
1300607;Benjamin Constant;AM;Amazônia
1300631;Beruri;AM;Amazônia
1300680;Boa Vista do Ramos;AM;Amazônia
1300706;Boca do Acre;AM;Amazônia
1300805;Borba;AM;Amazônia
1300839;Caapiranga;AM;Amazônia
1300904;Canutama;AM;Amazônia
1301001;Carauari;AM;Amazônia
1301100;Careiro;AM;Amazônia
1301159;Careiro da Várzea;AM;Amazônia
1301209;Coari;AM;Amazônia
1301308;Codajás;AM;Amazônia
1301407;Eirunepé;AM;Amazônia
1301506;Envira;AM;Amazônia
1301605;Fonte Boa;AM;Amazônia
1301654;Guajará;AM;Amazônia
1301704;Humaitá;AM;Amazônia
1301803;Ipixuna;AM;Amazônia
1301852;Iranduba;AM;Amazônia
