codigo_municipio;nome_municipio;UF_municipio;nome_bioma;grande_regiao
4200051;Abdon Batista;SC;Mata Atlântica;Sul
4200101;Abelardo Luz;SC;Mata Atlântica;Sul
4200200;Agrolândia;SC;Mata Atlântica;Sul
4200309;Agronômica;SC;Mata Atlântica;Sul
4200408;Água Doce;SC;Mata Atlântica;Sul
4200507;Águas de Chapecó;SC;Mata Atlântica;Sul
4200556;Águas Frias;SC;Mata Atlântica;Sul
4200606;Águas Mornas;SC;Mata Atlântica;Sul
4200705;Alfredo Wagner;SC;Mata Atlântica;Sul
4200754;Alto Bela Vista;SC;Mata Atlântica;Sul
4200804;Anchieta;SC;Mata Atlântica;Sul
4200903;Angelina;SC;Mata Atlântica;Sul
4201000;Anita Garibaldi;SC;Mata Atlântica;Sul
4201109;Anitápolis;SC;Mata Atlântica;Sul
4201208;Antônio Carlos;SC;Mata Atlântica;Sul
4201257;Apiúna;SC;Mata Atlântica;Sul
4201273;Arabutã;SC;Mata Atlântica;Sul
4201307;Araquari;SC;Mata Atlântica;Sul
4201406;Araranguá;SC;Mata Atlântica;Sul
4201505;Armazém;SC;Mata Atlântica;Sul
4201604;Arroio Trinta;SC;Mata Atlântica;Sul
4201653;Arvoredo;SC;Mata Atlântica;Sul
4201703;Ascurra;SC;Mata Atlântica;Sul
4201802;Atalanta;SC;Mata Atlântica;Sul
4201901;Aurora;SC;Mata Atlântica;Sul
4201950;Balneário Arroio do Silva;SC;Mata Atlântica;Sul
4202008;Balneário Camboriú;SC;Mata Atlântica;Sul
4202057;Balneário Barra do Sul;SC;Mata Atlântica;Sul
4202073;Balneário Gaivota;SC;Mata Atlântica;Sul
4202081;Bandeirante;SC;Mata Atlântica;Sul
4202099;Barra Bonita;SC;Mata Atlântica;Sul
4202107;Barra Velha;SC;Mata Atlântica;Sul
4202131;Bela Vista do Toldo;SC;Mata Atlântica;Sul
4202156;Belmonte;SC;Mata Atlântica;Sul
4202206;Benedito Novo;SC;Mata Atlântica;Sul
4202305;Biguaçu;SC;Mata Atlântica;Sul
4202404;Blumenau;SC;Mata Atlântica;Sul
4202438;Bocaina do Sul;SC;Mata Atlântica;Sul
4202453;Bombinhas;SC;Mata Atlântica;Sul
4202503;Bom Jardim da Serra;SC;Mata Atlântica;Sul
4202537;Bom Jesus;SC;Mata Atlântica;Sul
4202578;Bom Jesus do Oeste;SC;Mata Atlântica;Sul
4202602;Bom Retiro;SC;Mata Atlântica;Sul
4202701;Botuverá;SC;Mata Atlântica;Sul
4202800;Braço do Norte;SC;Mata Atlântica;Sul
4202859;Braço do Trombudo;SC;Mata Atlântica;Sul
4202875;Brunópolis;SC;Mata Atlântica;Sul
4202909;Brusque;SC;Mata Atlântica;Sul
4203006;Caçador;SC;Mata Atlântica;Sul
4203105;Caibi;SC;Mata Atlântica;Sul
4203154;Calmon;SC;Mata Atlântica;Sul
4203204;Camboriú;SC;Mata Atlântica;Sul
4203253;Capão Alto;SC;Mata Atlântica;Sul
4203303;Campo Alegre;SC;Mata Atlântica;Sul
4203402;Campo Belo do Sul;SC;Mata Atlântica;Sul
4203501;Campo Erê;SC;Mata Atlântica;Sul
4203600;Campos Novos;SC;Mata Atlântica;Sul
4203709;Canelinha;SC;Mata Atlântica;Sul
4203808;Canoinhas;SC;Mata Atlântica;Sul
4203907;Capinzal;SC;Mata Atlântica;Sul
4203956;Capivari de Baixo;SC;Mata Atlântica;Sul
4204004;Catanduvas;SC;Mata Atlântica;Sul
4204103;Caxambu do Sul;SC;Mata Atlântica;Sul
4204152;Celso Ramos;SC;Mata Atlântica;Sul
4204178;Cerro Negro;SC;Mata Atlântica;Sul
4204194;Chapadão do Lageado;SC;Mata Atlântica;Sul
4204202;Chapecó;SC;Mata Atlântica;Sul
4204251;Cocal do Sul;SC;Mata Atlântica;Sul
4204301;Concórdia;SC;Mata Atlântica;Sul
4204350;Cordilheira Alta;SC;Mata Atlântica;Sul
4204400;Coronel Freitas;SC;Mata Atlântica;Sul
4204459;Coronel Martins;SC;Mata Atlântica;Sul
4204509;Corupá;SC;Mata Atlântica;Sul
4204558;Correia Pinto;SC;Mata Atlântica;Sul
4204608;Criciúma;SC;Mata Atlântica;Sul
